age,wage,educ
22,12000,some college but no degree
21,3500,some college but no degree
43,0,"associate's degree, academic program"
49,30000,some college but no degree
31,32000,bachelor's degree
42,89630,doctorate degree
35,229339,doctorate degree
42,39000,high school diploma or equivalent
48,50000,high school diploma or equivalent
41,37500,some college but no degree
41,52000,"associate's degree, occupational/vocational program"
36,0,high school diploma or equivalent
46,35500,high school diploma or equivalent
22,2500,some college but no degree
45,46000,"associate's degree, occupational/vocational program"
20,4996,some college but no degree
36,229339,bachelor's degree
43,48000,high school diploma or equivalent
46,48000,master's degree
21,4000,some college but no degree
27,16500,high school diploma or equivalent
38,41923,bachelor's degree
26,22000,"associate's degree, occupational/vocational program"
46,140000,bachelor's degree
44,39767,some college but no degree
21,24500,some college but no degree
44,52000,high school diploma or equivalent
43,43000,some college but no degree
43,150000,bachelor's degree
43,53000,"associate's degree, occupational/vocational program"
45,22000,bachelor's degree
38,10000,high school diploma or equivalent
30,30000,high school diploma or equivalent
40,35000,professional school degree
24,14820,high school diploma or equivalent
35,67000,master's degree
38,25000,high school diploma or equivalent
27,35000,bachelor's degree
40,229339,some college but no degree
45,25000,bachelor's degree
31,37000,high school diploma or equivalent
32,30000,some college but no degree
40,11463,bachelor's degree
48,22330,high school diploma or equivalent
40,36000,some college but no degree
45,60000,some college but no degree
47,49000,some college but no degree
43,500,bachelor's degree
33,55000,professional school degree
30,27500,bachelor's degree
41,38400,"associate's degree, occupational/vocational program"
34,0,grade 10
41,0,high school diploma or equivalent
21,0,"12th grade, no diploma"
23,12456,some college but no degree
33,20000,bachelor's degree
28,22000,high school diploma or equivalent
29,17500,"associate's degree, academic program"
35,35000,high school diploma or equivalent
43,48000,bachelor's degree
32,21000,"associate's degree, academic program"
29,3000,high school diploma or equivalent
32,0,"associate's degree, academic program"
37,30000,"associate's degree, occupational/vocational program"
46,28500,high school diploma or equivalent
42,0,some college but no degree
29,0,grade 11
20,0,high school diploma or equivalent
45,22000,high school diploma or equivalent
37,85000,professional school degree
22,0,some college but no degree
20,6338,high school diploma or equivalent
43,24000,high school diploma or equivalent
24,1850,bachelor's degree
21,2714,some college but no degree
42,114650,professional school degree
37,20000,high school diploma or equivalent
29,40000,bachelor's degree
45,41000,high school diploma or equivalent
26,22300,high school diploma or equivalent
38,52000,professional school degree
36,36000,high school diploma or equivalent
42,54000,high school diploma or equivalent
45,0,grade 10
43,15002,high school diploma or equivalent
24,8402,"associate's degree, academic program"
30,32000,high school diploma or equivalent
21,14700,grade 11
40,55408,high school diploma or equivalent
28,0,bachelor's degree
33,32000,high school diploma or equivalent
37,40000,"associate's degree, occupational/vocational program"
30,36378,high school diploma or equivalent
41,2500,some college but no degree
38,38777,high school diploma or equivalent
37,25000,"12th grade, no diploma"
29,53037,high school diploma or equivalent
35,42000,high school diploma or equivalent
35,2600,"associate's degree, academic program"
35,0,bachelor's degree
48,229339,professional school degree
44,249339,professional school degree
38,30700,high school diploma or equivalent
36,80000,bachelor's degree
45,31474,"associate's degree, academic program"
34,23200,high school diploma or equivalent
47,40000,some college but no degree
40,0,high school diploma or equivalent
43,34000,high school diploma or equivalent
42,27768,high school diploma or equivalent
47,0,grade 9
41,9000,grade 9
29,0,high school diploma or equivalent
41,46000,master's degree
49,42270,bachelor's degree
48,29441,some college but no degree
45,1000,some college but no degree
36,23000,high school diploma or equivalent
46,50000,high school diploma or equivalent
46,79000,high school diploma or equivalent
44,35000,bachelor's degree
39,12000,grade 10
35,24000,some college but no degree
35,58000,"associate's degree, occupational/vocational program"
30,27000,high school diploma or equivalent
31,50000,bachelor's degree
28,16500,high school diploma or equivalent
31,32500,high school diploma or equivalent
39,65000,bachelor's degree
44,0,some college but no degree
47,65000,bachelor's degree
20,5000,some college but no degree
43,2240,high school diploma or equivalent
27,4320,high school diploma or equivalent
29,20000,high school diploma or equivalent
46,27500,some college but no degree
41,35000,high school diploma or equivalent
38,15300,"12th grade, no diploma"
39,35000,master's degree
21,7000,"associate's degree, occupational/vocational program"
42,27000,bachelor's degree
34,35000,high school diploma or equivalent
34,45000,high school diploma or equivalent
46,20000,some college but no degree
24,17883,high school diploma or equivalent
48,600,"12th grade, no diploma"
33,18000,master's degree
39,30000,high school diploma or equivalent
36,21000,high school diploma or equivalent
27,4000,high school diploma or equivalent
42,800,grade 9
39,36700,high school diploma or equivalent
50,59000,high school diploma or equivalent
49,18000,some college but no degree
37,9130,grade 11
